division_template = {
	name = "National Guard"

	regiments = {
	    infantry = { x = 0 y = 0 }
	    infantry = { x = 0 y = 1 }
	    infantry = { x = 0 y = 2 }
	    infantry = { x = 1 y = 0 }
	    shock_troops = { x = 1 y = 1 }
	}
}

division_template = {
	name = "Firqat Mushaa"

	regiments = {
	    infantry = { x = 0 y = 0 }
	    infantry = { x = 0 y = 1 }
	    infantry = { x = 0 y = 2 }
	    shock_troops = { x = 1 y = 0 }
	    shock_troops = { x = 1 y = 1 }
	}
	support = {
	    recon = { x = 0 y = 0 }
	}
}

units = {
	division= {
	    division_name = {
	        is_name_ordered = yes
	        name_order = 1
	    }
	    location = 5164
	    division_template = "Firqat Mushaa"
	    start_experience_factor = 0.3
	}
	division= {
	    division_name = {
	        is_name_ordered = yes
	        name_order = 1
	    }
	    location = 4952
	    division_template = "National Guard"
	    start_experience_factor = 0.3
	}
	division= {
	    division_name = {
	        is_name_ordered = yes
	        name_order = 1
	    }
	    location = 5859
	    division_template = "National Guard"
	    start_experience_factor = 0.3
	}
	division= {
	    division_name = {
	        is_name_ordered = yes
	        name_order = 1
	    }
	    location = 5487
	    division_template = "National Guard"
	    start_experience_factor = 0.3
	}
	fleet = {
	    name = "Tripolitanian Fleet"
	    naval_base = 5164
	    task_force = {
	        name = "Tripoli Coastal Defense Taskforce"
	        location = 5164
	        ship = { name = "TSS Bitti" definition = destroyer start_experience_factor = 0.1 equipment = { be_destroyer_1  = { amount = 1 owner = LBA } } }
	        ship = { name = "TSS Magoran" definition = destroyer start_experience_factor = 0.1 equipment = { be_destroyer_1  = { amount = 1 owner = LBA } } }
	        ship = { name = "TSS Lasko" definition = destroyer start_experience_factor = 0.1 equipment = { be_destroyer_1  = { amount = 1 owner = LBA } } }
	        ship = { name = "TSS Idinin" definition = destroyer start_experience_factor = 0.1 equipment = { be_destroyer_1  = { amount = 1 owner = LBA } } }
	    }
	}
}
