division_template = {
	name = "Infantry Militia"
	regiments = {
		irregular_infantry = { x = 0 y = 0 }
		irregular_infantry = { x = 0 y = 1 }
		irregular_infantry = { x = 0 y = 2 }
		irregular_infantry = { x = 0 y = 3 }
		irregular_infantry = { x = 1 y = 0 }
		irregular_infantry = { x = 1 y = 1 }
		irregular_infantry = { x = 1 y = 2 }
		irregular_infantry = { x = 1 y = 3 }
	}
	support = {
		recon = { x = 0 y = 0 }
	}
}
units = {
	division = {
		division_name = { is_name_ordered = yes name_order = 1 }
		location = 2757
		division_template = "Infantry Militia"
		start_experience_factor = 0.3
	}
	division = {
		division_name = { is_name_ordered = yes name_order = 1 }
		location = 2379
		division_template = "Infantry Militia"
		start_experience_factor = 0.3
	}
	division = {
		division_name = { is_name_ordered = yes name_order = 1 }
		location = 2322
		division_template = "Infantry Militia"
		start_experience_factor = 0.3
	}
	fleet = {
		name = "Junta Second Fleet"
		naval_base = 2757
		task_force = {
			name = "Junta Conqueror Task Force"
			location = 2757
			ship = { name = "USS Abraham Lincoln" definition = carrier equipment = { carrier_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Carl Vinson" definition = carrier equipment = { carrier_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Dwight D. Eisenhower" definition = carrier equipment = { carrier_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS George Washington" definition = carrier equipment = { carrier_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Alabama" definition = submarine equipment = { submarine_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Alaska" definition = submarine equipment = { submarine_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Antietam" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Anzio" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Arleigh Burke" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Bainbridge" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Barry" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Benfold" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Bulkeley" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Bunker Hill" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Cape St. George" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Carney" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Chafee" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Chancellorsville" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Chosin" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Chung-Hoon" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Cole" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Cowpens" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Curtis Wilbur" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Daniel Inouye" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Decatur" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Delbert D. Black" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Dewey" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Donald Cook" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Farragut" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Fitzgerald" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Forrest Sherman" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Gettysburg" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Gonzalez" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Gravely" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Gridley" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Halsey" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Henry M. Jackson" definition = submarine equipment = { submarine_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Higgins" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Hopper" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Howard" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Hué City" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS James E. Williams" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Jason Dunham" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS John Finn" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS John Paul Jones" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS John S. McCain" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Kentucky" definition = submarine equipment = { submarine_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Kidd" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Laboon" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Lake Champlain" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Lake Erie" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Lassen" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Leyte Gulf" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Louisiana" definition = submarine equipment = { submarine_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Mahan" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Maine" definition = submarine equipment = { submarine_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Maryland" definition = submarine equipment = { submarine_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Mason" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS McCampbell" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS McFaul" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Michael Monsoor" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Michael Murphy" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Milius" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Mitscher" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
